Date,Day_of_Week,Month,Quarter,Holiday_Indicator,Product_ID,Category,Price,Promotion_Type,Promotion_Duration,Discount_Applied,Customer_Segment,Region,Inventory_Levels,Competitor_Pricing_Indicator,Units_Sold,Revenue
2023-02-20,Monday,2,1,0,PROD_102,Beauty,63.01,Clearance,6,0.4,Retail,South,215,Same,38,1436.63
2023-02-21,Tuesday,2,1,0,PROD_122,Beauty,198.13,None,0,0.0,Wholesale,North,206,Lower,24,4755.12
2023-02-22,Wednesday,2,1,0,PROD_111,Beauty,231.41,None,0,0.0,Retail,West,364,Same,12,2776.92
2023-02-23,Thursday,2,1,0,PROD_119,Electronics,157.63,None,0,0.0,Corporate,East,243,Same,16,2522.08
2023-02-24,Friday,2,1,0,PROD_104,Electronics,169.57,None,0,0.0,Retail,East,337,Higher,48,8139.36
2023-02-25,Saturday,2,1,0,PROD_136,Home & Garden,286.17,None,0,0.0,Retail,East,416,Lower,12,3434.04
2023-02-26,Sunday,2,1,0,PROD_137,Beauty,256.44,None,0,0.0,Retail,North,384,Higher,39,10001.16
2023-02-27,Monday,2,1,0,PROD_129,Electronics,275.56,None,0,0.0,Retail,West,356,Higher,29,7991.24
2023-03-01,Wednesday,3,1,0,PROD_108,Home & Garden,246.92,Seasonal Sale,6,0.15,Wholesale,South,248,Higher,17,3567.99
2023-03-02,Thursday,3,1,0,PROD_133,Beauty,46.04,Clearance,8,0.4,Retail,West,409,Same,27,745.85
2023-03-03,Friday,3,1,0,PROD_143,Apparel,57.46,None,0,0.0,Retail,South,486,Same,13,746.98
2023-03-04,Saturday,3,1,0,PROD_134,Home & Garden,165.09,None,0,0.0,Wholesale,North,96,Same,23,3797.07
2023-03-05,Sunday,3,1,0,PROD_121,Electronics,85.13,Flash Sale,6,0.25,Corporate,North,207,Higher,21,1340.8
2023-03-06,Monday,3,1,0,PROD_143,Electronics,150.86,None,0,0.0,Wholesale,South,365,Same,24,3620.64
2023-03-07,Tuesday,3,1,0,PROD_123,Home & Garden,127.39,None,0,0.0,Retail,South,289,Same,9,1146.51
2023-03-08,Wednesday,3,1,1,PROD_116,Home & Garden,171.58,Flash Sale,3,0.25,Wholesale,South,114,Same,33,4246.61
2023-03-09,Thursday,3,1,0,PROD_109,Electronics,227.86,None,0,0.0,Retail,West,329,Same,25,5696.5
2023-03-10,Friday,3,1,0,PROD_129,Apparel,218.91,Seasonal Sale,9,0.15,Retail,South,151,Higher,35,6512.57
2023-03-11,Saturday,3,1,0,PROD_145,Beauty,163.55,None,0,0.0,Retail,North,58,Lower,12,1962.6
2023-03-12,Sunday,3,1,0,PROD_122,Apparel,249.38,None,0,0.0,Retail,North,91,Higher,12,2992.56
2023-03-14,Tuesday,3,1,1,PROD_131,Home & Garden,137.8,None,0,0.0,Retail,East,300,Same,21,2893.8
2023-03-15,Wednesday,3,1,0,PROD_116,Apparel,270.56,Seasonal Sale,5,0.15,Retail,South,352,Higher,32,7359.23
2023-03-16,Thursday,3,1,0,PROD_149,Electronics,35.31,None,0,0.0,Wholesale,West,179,Same,17,600.27
2023-03-17,Friday,3,1,0,PROD_116,Home & Garden,287.08,None,0,0.0,Retail,West,206,Same,12,3444.96
2023-03-18,Saturday,3,1,0,PROD_113,Beauty,201.59,Seasonal Sale,5,0.15,Retail,West,210,Higher,34,5825.95
2023-03-19,Sunday,3,1,0,PROD_108,Electronics,123.32,None,0,0.0,Retail,East,441,Same,12,1479.84
2023-03-20,Monday,3,1,0,PROD_139,Electronics,71.19,None,0,0.0,Corporate,North,139,Higher,48,3417.12
2023-03-21,Tuesday,3,1,0,PROD_101,Beauty,151.57,Flash Sale,4,0.25,Retail,West,239,Same,55,6252.26
2023-03-22,Wednesday,3,1,0,PROD_144,Beauty,70.45,None,0,0.0,Retail,North,72,Same,24,1690.8
2023-03-23,Thursday,3,1,0,PROD_124,Apparel,62.4,Flash Sale,6,0.25,Wholesale,East,241,Same,42,1965.6
2023-03-24,Friday,3,1,0,PROD_138,Home & Garden,190.95,Seasonal Sale,9,0.15,Wholesale,South,470,Same,50,8115.38
2023-03-25,Saturday,3,1,0,PROD_108,Beauty,164.08,Seasonal Sale,5,0.15,Retail,South,431,Same,11,1534.15
2023-03-26,Sunday,3,1,0,PROD_121,Beauty,205.98,None,0,0.0,Wholesale,South,150,Lower,10,2059.8
2023-03-27,Monday,3,1,0,PROD_142,Home & Garden,279.94,Clearance,10,0.4,Wholesale,West,256,Same,40,6718.56
2023-03-28,Tuesday,3,1,0,PROD_145,Beauty,166.69,None,0,0.0,Wholesale,South,265,Lower,9,1500.21
2023-03-31,Friday,3,1,0,PROD_103,Beauty,180.57,Seasonal Sale,3,0.15,Retail,West,245,Higher,48,7367.26
2023-04-01,Saturday,4,2,0,PROD_125,Apparel,40.54,None,0,0.0,Wholesale,East,227,Higher,27,1094.58
2023-04-02,Sunday,4,2,0,PROD_128,Electronics,219.53,None,0,0.0,Retail,East,425,Same,34,7464.02
2023-04-03,Monday,4,2,1,PROD_144,Electronics,128.97,None,0,0.0,Retail,West,115,Same,39,5029.83
2023-04-04,Tuesday,4,2,0,PROD_133,Electronics,293.37,Clearance,10,0.4,Retail,North,441,Same,70,12321.54
2023-04-05,Wednesday,4,2,0,PROD_122,Electronics,249.6,Clearance,5,0.4,Retail,South,219,Same,46,6888.96
2023-04-06,Thursday,4,2,0,PROD_136,Beauty,163.91,None,0,0.0,Retail,South,266,Higher,58,9506.78
2023-04-07,Friday,4,2,0,PROD_110,Home & Garden,50.12,None,0,0.0,Wholesale,South,91,Higher,41,2054.92
2023-04-08,Saturday,4,2,1,PROD_105,Home & Garden,259.93,Seasonal Sale,13,0.15,Retail,West,337,Same,30,6628.22
2023-04-09,Sunday,4,2,0,PROD_117,Apparel,242.94,None,0,0.0,Retail,East,204,Higher,18,4372.92
2023-04-11,Tuesday,4,2,1,PROD_120,Apparel,67.61,None,0,0.0,Retail,South,25,Same,51,3448.11
2023-04-12,Wednesday,4,2,0,PROD_141,Beauty,99.15,Seasonal Sale,4,0.15,Retail,East,225,Higher,48,4045.32
2023-04-14,Friday,4,2,0,PROD_135,Home & Garden,241.12,None,0,0.0,Corporate,South,51,Lower,15,3616.8
2023-04-15,Saturday,4,2,0,PROD_140,Home & Garden,67.79,Clearance,8,0.4,Retail,South,118,Same,46,1871.0
2023-04-16,Sunday,4,2,1,PROD_137,Electronics,276.56,None,0,0.0,Retail,West,413,Same,55,15210.8
2023-04-18,Tuesday,4,2,0,PROD_133,Beauty,135.99,None,0,0.0,Retail,North,406,Same,27,3671.73
2023-04-19,Wednesday,4,2,0,PROD_116,Beauty,39.81,None,0,0.0,Retail,West,275,Lower,25,995.25
2023-04-20,Thursday,4,2,1,PROD_136,Electronics,247.49,Seasonal Sale,12,0.15,Retail,South,206,Higher,96,20195.18
2023-04-21,Friday,4,2,0,PROD_124,Beauty,121.45,None,0,0.0,Wholesale,South,95,Lower,28,3400.6
2023-04-22,Saturday,4,2,0,PROD_137,Beauty,165.05,Seasonal Sale,7,0.15,Corporate,North,196,Same,24,3367.02
2023-04-23,Sunday,4,2,0,PROD_111,Apparel,47.01,None,0,0.0,Retail,East,334,Lower,34,1598.34
2023-04-24,Monday,4,2,0,PROD_122,Home & Garden,15.74,Flash Sale,11,0.25,Wholesale,East,306,Same,66,779.13
2023-04-25,Tuesday,4,2,0,PROD_141,Beauty,196.83,None,0,0.0,Wholesale,South,368,Same,29,5708.07
2023-04-26,Wednesday,4,2,0,PROD_121,Apparel,161.82,None,0,0.0,Wholesale,East,274,Same,37,5987.34
2023-04-27,Thursday,4,2,0,PROD_120,Home & Garden,184.16,Seasonal Sale,10,0.15,Retail,South,344,Lower,40,6261.44
2023-04-28,Friday,4,2,0,PROD_126,Electronics,241.22,None,0,0.0,Retail,North,209,Lower,9,2170.98
2023-04-29,Saturday,4,2,0,PROD_130,Apparel,199.28,None,0,0.0,Retail,North,327,Same,43,8569.04
2023-04-30,Sunday,4,2,1,PROD_105,Apparel,64.81,Flash Sale,5,0.25,Wholesale,South,364,Higher,38,1847.08
2023-05-01,Monday,5,2,0,PROD_126,Home & Garden,117.82,None,0,0.0,Wholesale,North,146,Higher,45,5301.9
2023-05-03,Wednesday,5,2,0,PROD_139,Electronics,273.18,Seasonal Sale,10,0.15,Retail,West,444,Lower,16,3715.25
2023-05-04,Thursday,5,2,0,PROD_133,Apparel,234.43,None,0,0.0,Retail,West,306,Same,15,3516.45
2023-05-05,Friday,5,2,0,PROD_111,Beauty,173.64,Seasonal Sale,3,0.15,Corporate,North,273,Lower,24,3542.26
2023-05-06,Saturday,5,2,0,PROD_144,Beauty,87.86,None,0,0.0,Wholesale,South,232,Lower,23,2020.78
2023-05-07,Sunday,5,2,0,PROD_106,Beauty,101.09,None,0,0.0,Corporate,South,269,Same,48,4852.32
2023-05-08,Monday,5,2,0,PROD_109,Electronics,223.61,Clearance,9,0.4,Wholesale,North,103,Same,78,10464.95
2023-05-09,Tuesday,5,2,0,PROD_144,Apparel,257.58,Seasonal Sale,5,0.15,Retail,East,402,Lower,21,4597.8
2023-05-10,Wednesday,5,2,0,PROD_116,Beauty,206.36,None,0,0.0,Retail,West,425,Lower,9,1857.24
2023-05-12,Friday,5,2,1,PROD_125,Electronics,245.72,None,0,0.0,Wholesale,East,407,Lower,35,8600.2
2023-05-13,Saturday,5,2,1,PROD_120,Beauty,233.5,Flash Sale,11,0.25,Retail,South,32,Higher,91,15936.38
2023-05-14,Sunday,5,2,0,PROD_127,Home & Garden,57.67,None,0,0.0,Retail,South,64,Higher,35,2018.45
2023-05-16,Tuesday,5,2,0,PROD_145,Apparel,135.82,Seasonal Sale,3,0.15,Wholesale,East,146,Lower,25,2886.18
2023-05-17,Wednesday,5,2,0,PROD_101,Apparel,58.6,Seasonal Sale,7,0.15,Retail,North,445,Lower,10,498.1
2023-05-18,Thursday,5,2,0,PROD_142,Electronics,82.04,None,0,0.0,Wholesale,East,133,Higher,24,1968.96
2023-05-19,Friday,5,2,0,PROD_100,Electronics,262.74,None,0,0.0,Retail,East,452,Higher,27,7093.98
2023-05-20,Saturday,5,2,0,PROD_135,Apparel,149.77,Seasonal Sale,7,0.15,Corporate,West,295,Same,30,3819.14
2023-05-21,Sunday,5,2,0,PROD_125,Beauty,167.58,None,0,0.0,Retail,West,224,Lower,14,2346.12
2023-05-22,Monday,5,2,0,PROD_128,Beauty,65.86,None,0,0.0,Retail,East,356,Lower,19,1251.34
2023-05-23,Tuesday,5,2,0,PROD_120,Home & Garden,104.0,Clearance,6,0.4,Wholesale,East,457,Same,88,5491.2
2023-05-24,Wednesday,5,2,0,PROD_110,Beauty,80.62,None,0,0.0,Retail,South,439,Same,48,3869.76
2023-05-25,Thursday,5,2,0,PROD_139,Electronics,73.76,Seasonal Sale,4,0.15,Wholesale,West,404,Lower,33,2068.97
2023-05-26,Friday,5,2,0,PROD_110,Electronics,196.82,None,0,0.0,Wholesale,West,418,Same,23,4526.86
2023-05-27,Saturday,5,2,0,PROD_135,Beauty,88.21,None,0,0.0,Retail,South,480,Lower,23,2028.83
2023-05-28,Sunday,5,2,0,PROD_148,Electronics,195.12,None,0,0.0,Retail,North,292,Higher,13,2536.56
2023-05-29,Monday,5,2,0,PROD_138,Apparel,31.66,None,0,0.0,Retail,West,427,Same,31,981.46
2023-05-30,Tuesday,5,2,0,PROD_139,Apparel,55.41,None,0,0.0,Retail,West,77,Lower,22,1219.02
2023-05-31,Wednesday,5,2,0,PROD_134,Beauty,93.24,None,0,0.0,Corporate,North,347,Same,28,2610.72
2023-06-01,Thursday,6,2,0,PROD_133,Apparel,185.16,Seasonal Sale,13,0.15,Wholesale,West,238,Same,37,5823.28
2023-06-02,Friday,6,2,1,PROD_146,Apparel,207.61,None,0,0.0,Wholesale,West,128,Higher,40,8304.4
2023-06-03,Saturday,6,2,0,PROD_123,Home & Garden,141.17,None,0,0.0,Wholesale,North,298,Same,37,5223.29
2023-06-04,Sunday,6,2,0,PROD_121,Home & Garden,142.05,None,0,0.0,Retail,North,193,Same,37,5255.85
2023-06-05,Monday,6,2,0,PROD_104,Apparel,221.49,None,0,0.0,Corporate,East,347,Same,42,9302.58
2023-06-06,Tuesday,6,2,1,PROD_132,Beauty,19.51,None,0,0.0,Wholesale,South,283,Same,42,819.42
2023-06-07,Wednesday,6,2,0,PROD_135,Home & Garden,112.21,None,0,0.0,Wholesale,South,334,Higher,48,5386.08
2023-06-08,Thursday,6,2,0,PROD_146,Electronics,248.33,None,0,0.0,Wholesale,North,493,Same,46,11423.18
2023-06-09,Friday,6,2,0,PROD_119,Electronics,186.92,None,0,0.0,Retail,North,130,Same,35,6542.2
2023-06-11,Sunday,6,2,0,PROD_118,Electronics,111.11,None,0,0.0,Wholesale,West,206,Lower,30,3333.3
2023-06-12,Monday,6,2,0,PROD_134,Beauty,273.07,Seasonal Sale,3,0.15,Retail,East,288,Same,59,13694.46
2023-06-13,Tuesday,6,2,0,PROD_142,Apparel,235.2,None,0,0.0,Retail,East,442,Higher,57,13406.4
2023-06-14,Wednesday,6,2,0,PROD_116,Electronics,90.5,None,0,0.0,Retail,North,248,Higher,63,5701.5
2023-06-15,Thursday,6,2,0,PROD_144,Beauty,198.91,Seasonal Sale,12,0.15,Corporate,West,175,Lower,24,4057.76
2023-06-17,Saturday,6,2,1,PROD_142,Home & Garden,184.79,None,0,0.0,Wholesale,West,492,Lower,49,9054.71
2023-06-18,Sunday,6,2,1,PROD_133,Apparel,129.34,Flash Sale,4,0.25,Wholesale,South,208,Higher,69,6693.35
2023-06-19,Monday,6,2,0,PROD_108,Home & Garden,119.58,None,0,0.0,Wholesale,South,291,Higher,41,4902.78
2023-06-20,Tuesday,6,2,0,PROD_125,Beauty,112.91,None,0,0.0,Retail,West,394,Lower,21,2371.11
2023-06-21,Wednesday,6,2,0,PROD_101,Electronics,190.89,None,0,0.0,Corporate,South,21,Same,25,4772.25
2023-06-22,Thursday,6,2,0,PROD_108,Electronics,141.09,None,0,0.0,Retail,North,265,Same,37,5220.33
2023-06-23,Friday,6,2,0,PROD_108,Beauty,252.08,Seasonal Sale,9,0.15,Retail,West,229,Higher,78,16712.9
2023-06-24,Saturday,6,2,0,PROD_139,Electronics,205.84,None,0,0.0,Retail,South,420,Lower,11,2264.24
2023-06-25,Sunday,6,2,0,PROD_116,Apparel,34.93,Flash Sale,10,0.25,Wholesale,East,305,Lower,35,916.91
2023-06-26,Monday,6,2,1,PROD_100,Beauty,197.45,None,0,0.0,Wholesale,West,378,Higher,58,11452.1
2023-06-27,Tuesday,6,2,0,PROD_124,Home & Garden,92.28,None,0,0.0,Retail,West,32,Lower,24,2214.72
2023-06-28,Wednesday,6,2,0,PROD_142,Beauty,183.95,None,0,0.0,Retail,East,115,Same,49,9013.55
2023-06-29,Thursday,6,2,0,PROD_139,Apparel,208.84,None,0,0.0,Wholesale,North,240,Same,30,6265.2
2023-06-30,Friday,6,2,0,PROD_141,Apparel,80.79,None,0,0.0,Retail,East,257,Same,34,2746.86
2023-07-01,Saturday,7,3,0,PROD_124,Beauty,145.2,Seasonal Sale,9,0.15,Wholesale,West,113,Same,13,1604.46
2023-07-02,Sunday,7,3,0,PROD_138,Beauty,69.24,Flash Sale,7,0.25,Corporate,North,357,Same,24,1246.32
2023-07-03,Monday,7,3,0,PROD_134,Electronics,29.92,None,0,0.0,Retail,South,288,Lower,22,658.24
2023-07-04,Tuesday,7,3,0,PROD_102,Apparel,122.87,Seasonal Sale,3,0.15,Retail,South,190,Same,44,4595.34
2023-07-05,Wednesday,7,3,0,PROD_149,Beauty,118.44,Clearance,3,0.4,Wholesale,South,488,Higher,83,5898.31
2023-07-06,Thursday,7,3,0,PROD_136,Beauty,298.71,Flash Sale,11,0.25,Wholesale,West,113,Higher,86,19266.79
2023-07-07,Friday,7,3,0,PROD_143,Apparel,142.21,None,0,0.0,Retail,East,168,Lower,27,3839.67
2023-07-08,Saturday,7,3,0,PROD_143,Beauty,110.07,Seasonal Sale,7,0.15,Corporate,North,131,Lower,21,1964.75
2023-07-10,Monday,7,3,0,PROD_129,Electronics,180.44,None,0,0.0,Retail,South,74,Same,27,4871.88
2023-07-12,Wednesday,7,3,0,PROD_137,Apparel,40.3,Clearance,7,0.4,Retail,North,356,Same,64,1547.52
2023-07-13,Thursday,7,3,0,PROD_133,Electronics,289.07,None,0,0.0,Wholesale,West,443,Same,24,6937.68
2023-07-14,Friday,7,3,0,PROD_111,Electronics,195.96,None,0,0.0,Wholesale,South,486,Same,42,8230.32
2023-07-15,Saturday,7,3,0,PROD_118,Electronics,230.13,Seasonal Sale,11,0.15,Retail,West,135,Lower,28,5477.09
2023-07-16,Sunday,7,3,0,PROD_136,Electronics,63.59,None,0,0.0,Wholesale,East,162,Lower,33,2098.47
2023-07-17,Monday,7,3,0,PROD_143,Apparel,131.7,Clearance,3,0.4,Retail,West,220,Same,64,5057.28
2023-07-18,Tuesday,7,3,0,PROD_148,Electronics,135.47,Clearance,9,0.4,Retail,West,199,Same,72,5852.3
2023-07-19,Wednesday,7,3,0,PROD_116,Electronics,249.21,Seasonal Sale,9,0.15,Retail,East,221,Lower,25,5295.71
2023-07-20,Thursday,7,3,0,PROD_109,Beauty,15.35,None,0,0.0,Wholesale,North,383,Same,33,506.55
2023-07-21,Friday,7,3,0,PROD_148,Apparel,100.74,Seasonal Sale,12,0.15,Retail,East,498,Same,67,5737.14
2023-07-22,Saturday,7,3,0,PROD_146,Apparel,294.65,None,0,0.0,Retail,East,72,Higher,20,5893.0
2023-07-23,Sunday,7,3,0,PROD_111,Home & Garden,150.34,None,0,0.0,Retail,West,490,Higher,37,5562.58
2023-07-24,Monday,7,3,0,PROD_115,Apparel,124.02,Flash Sale,8,0.25,Wholesale,North,403,Same,58,5394.87
2023-07-25,Tuesday,7,3,0,PROD_123,Apparel,49.15,None,0,0.0,Wholesale,South,199,Lower,10,491.5
2023-07-26,Wednesday,7,3,0,PROD_118,Home & Garden,292.64,None,0,0.0,Wholesale,East,433,Same,36,10535.04
2023-07-27,Thursday,7,3,0,PROD_107,Apparel,20.71,Clearance,4,0.4,Retail,North,436,Lower,25,310.65
2023-07-28,Friday,7,3,0,PROD_130,Apparel,225.1,None,0,0.0,Wholesale,East,332,Same,40,9004.0
2023-07-29,Saturday,7,3,0,PROD_120,Apparel,234.05,None,0,0.0,Retail,East,327,Higher,39,9127.95
2023-07-30,Sunday,7,3,0,PROD_116,Apparel,84.44,Clearance,7,0.4,Wholesale,East,156,Same,70,3546.48
2023-07-31,Monday,7,3,0,PROD_122,Home & Garden,206.39,None,0,0.0,Corporate,East,201,Higher,63,13002.57
2023-08-01,Tuesday,8,3,0,PROD_136,Apparel,41.48,Seasonal Sale,8,0.15,Retail,West,386,Same,30,1057.74
2023-08-02,Wednesday,8,3,0,PROD_115,Apparel,88.26,Clearance,6,0.4,Wholesale,North,20,Lower,44,2330.06
2023-08-04,Friday,8,3,0,PROD_105,Home & Garden,239.55,Clearance,13,0.4,Retail,North,63,Same,58,8336.34
2023-08-05,Saturday,8,3,0,PROD_107,Beauty,261.44,Seasonal Sale,9,0.15,Retail,North,246,Same,63,14000.11
2023-08-06,Sunday,8,3,0,PROD_124,Electronics,188.42,None,0,0.0,Retail,East,350,Same,37,6971.54
2023-08-07,Monday,8,3,0,PROD_117,Beauty,159.45,None,0,0.0,Retail,West,117,Same,26,4145.7
2023-08-08,Tuesday,8,3,0,PROD_124,Home & Garden,60.4,Flash Sale,9,0.25,Retail,East,227,Lower,42,1902.6
2023-08-09,Wednesday,8,3,1,PROD_111,Electronics,32.99,Flash Sale,4,0.25,Wholesale,East,284,Higher,34,841.25
2023-08-10,Thursday,8,3,0,PROD_114,Home & Garden,48.53,None,0,0.0,Retail,North,307,Lower,23,1116.19
2023-08-11,Friday,8,3,0,PROD_125,Home & Garden,79.8,None,0,0.0,Wholesale,East,290,Higher,19,1516.2
2023-08-12,Saturday,8,3,0,PROD_140,Apparel,112.38,None,0,0.0,Retail,South,159,Higher,26,2921.88
2023-08-13,Sunday,8,3,0,PROD_144,Electronics,123.56,None,0,0.0,Retail,East,256,Higher,61,7537.16
2023-08-14,Monday,8,3,0,PROD_125,Apparel,113.7,Seasonal Sale,11,0.15,Wholesale,South,481,Same,20,1932.9
2023-08-15,Tuesday,8,3,0,PROD_146,Electronics,83.13,None,0,0.0,Retail,East,460,Same,20,1662.6
2023-08-16,Wednesday,8,3,0,PROD_131,Home & Garden,160.27,Clearance,11,0.4,Retail,West,411,Higher,59,5673.56
2023-08-17,Thursday,8,3,0,PROD_109,Home & Garden,250.21,Seasonal Sale,3,0.15,Wholesale,West,91,Same,15,3190.18
2023-08-18,Friday,8,3,0,PROD_115,Beauty,94.72,None,0,0.0,Retail,North,174,Same,49,4641.28
2023-08-19,Saturday,8,3,0,PROD_106,Electronics,283.58,Seasonal Sale,12,0.15,Retail,East,209,Same,16,3856.69
2023-08-20,Sunday,8,3,0,PROD_116,Apparel,263.9,None,0,0.0,Retail,South,287,Same,44,11611.6
2023-08-21,Monday,8,3,0,PROD_122,Beauty,61.1,None,0,0.0,Corporate,South,340,Same,42,2566.2
2023-08-22,Tuesday,8,3,0,PROD_125,Beauty,239.09,Seasonal Sale,8,0.15,Wholesale,East,126,Same,45,9145.19
2023-08-23,Wednesday,8,3,0,PROD_120,Beauty,178.76,Flash Sale,3,0.25,Wholesale,South,251,Same,45,6033.15
2023-08-24,Thursday,8,3,0,PROD_121,Apparel,176.47,Flash Sale,9,0.25,Wholesale,West,61,Higher,57,7544.09
